_id,bus_no,dest,platform
353,354C,"MADIWALA, HEBBAGODI, CHANDAPURA, HIGGALURU",26B
354,355A,"MADIWALA, HEBBAGODI, ARMADALLI",26B
355,355E,"MADIWALA, HEBBAGODI, BIOCON FACTORY, KYALASANAHALLI",26B
356,356A,"MADIWALA, HEBBAGODI, CHANDAPURA, HIGGALURU",26C
357,356D,"MADIWALA, KUDLUGATE, HUSKUR GATE",26C
358,356H,"MADIWALA, HEBBAGODI, CHANDAPURA",26C
359,356M,"MADIWALA, HEBBAGODI, CHANDAPURA, JGGALURU, TARAPUR GATE",26C
360,356CB,"MADIWALA, KONAPPANA AGRAHARA",26C
361,358A,"MADIWALA, HEBBAGODI, CHANDAPURA, GUTTADAHATTI CROSS, KAMBLIPURA TEMPLE",26C
362,360B,"MADIWALA, HEBBAGODI, CHANDAPURA",26C
363,360J,"LALBAGH, MADIWALA, HEBBAGODI, CHANDAPURA",26C
364,365,"BANGALORE DAIRY, GOTTIGERE, KALKERE",27
365,365C,"BANGALORE DAIRY, BILEKANAHALLI, BASAVANAPURA, KOPPA GATE",27
366,365D,"BANGALORE DAIRY, GOTTIGERE, BASAVANAPURA",27
367,365E,"BANGALORE DAIRY, GOTTIGERE, BILAVARADAHALLI",27
368,365F,"BANGALORE DIARY, GOTTIGERE, KOPPA GATE, JIGANI, HARAGADDE",27
369,365J,"BANGALORE DIARY, GOTTIGERE, BANNERGHATTA CIRCLE, KOPPA GATE",27
370,365N,"BANGALORE DIARY, GOTTIGERE, JIGANI, GOWDANAHALLI",27
371,365P,"BANGALORE DIARY, GOTTIGERE, BANNERGHATTA CIRCLE, HARAGADDE",27
372,369C,"BANGALORE DIARY, BILEKANAHALLI, HULIMAVU GATE",27A
373,369D,"BANGALORE DIARY, BILEKANAHALLI, AREKERE GATE",27A
374,369J,"BANGALORE DIARY, HULIMAVU GATE, CHIKKAMMANAHALLI",27A
